target,voting,adaboost,bagging,linearreg,decisiontree,randomforest,gradientboosting,sgd,voting_2
20.0,18.183780924479166,19.383639686122756,18.800379991531372,18.7513427734375,16.0,18.34,19.045889196844886,18.725204965452658,17.980149296175174
19.0,18.669871012369793,19.383639686122756,18.80111780166626,19.009613037109375,19.0,18.08,19.19123923056816,18.985815880396743,18.81145603618886
16.0,19.555830891927084,19.5797233622131,19.980864572525025,19.86749267578125,21.0,18.77,19.608307154195867,19.548213270137474,19.900098484205767
20.0,20.120867919921874,19.35731039874902,18.816733503341673,18.762603759765625,23.0,21.15,19.086541746410532,18.850906978977093,21.088687955986128
14.0,20.40656941731771,19.9404056816395,19.42353549003601,19.419708251953125,15.0,19.67,19.559229252643515,19.299261367053738,17.996829132238606
16.0,18.934102376302082,19.983534577387488,19.78098421096802,19.80230712890625,17.0,17.83,19.8544242153546,19.681669694047713,18.423495798905275
17.0,19.600488281249998,19.995550351288056,18.94998345375061,19.00146484375,20.0,20.396666666666665,19.66598313367348,19.074606530106372,19.916829132238608
19.0,22.995159912109376,20.018298383865368,20.38181953430176,20.585479736328125,26.0,19.706,20.229763813073475,20.495271430642557,21.883495798905273
22.0,20.722074381510417,19.995550351288056,20.57597336769104,20.56622314453125,20.0,20.93,20.195984759273102,20.461642742600894,20.346829132238607
20.0,19.365812174479167,19.5797233622131,19.37165298461914,19.4974365234375,21.0,20.026666666666667,19.501694163349715,19.375803390470846,19.18967784928513
16.0,18.319964599609374,19.5797233622131,19.317242097854614,19.359893798828125,17.0,19.35,19.47057202515171,19.284139124882035,18.67348262950851
19.0,20.521046956380207,19.995550351288056,20.5620717048645,20.563140869140625,18.0,20.95,20.130476143706133,20.429033770638632,19.42682913223861
22.0,18.77360636393229,19.5797233622131,19.12993621826172,19.120819091796875,18.0,19.23,19.14523199477954,18.993817450989788,18.84204292865021
15.0,19.674684651692708,19.383639686122756,19.732108640670777,19.624053955078125,18.0,19.14,19.627280760909414,19.434365704839415,18.724789369522195
17.0,20.143267822265624,19.995550351288056,19.597348642349242,19.829803466796875,19.0,20.87,20.004987228524172,19.77206016955983,20.66016246557194
15.0,18.466259765625,19.5797233622131,19.024665927886964,18.998779296875,19.0,18.0,19.109230551238756,18.968656520316873,19.362042928650208
17.0,19.509977213541667,19.995550351288056,20.01254858970642,19.929931640625,19.0,19.68,19.865917211863934,19.763161740661857,19.486829132238608
30.0,38.05630900065104,32.82878554957725,28.348406505584716,28.368927001953125,46.0,40.27,30.263263944036744,28.056435534968493,39.075928820206634
21.0,20.27952677408854,20.018298383865368,20.62909574508667,20.638580322265625,19.0,20.9,20.036774925337077,20.527153124296753,19.983495798905277
20.0,18.749715169270832,19.5797233622131,20.347453117370605,20.2491455078125,18.0,19.88,19.611126737998127,20.132430353651007,19.168709595316873
21.0,19.626698811848957,19.5797233622131,19.996084880828857,19.880096435546875,21.0,19.53333333333333,19.4781214974342,19.777747038791894,20.108709595316878
22.0,16.855403645833334,19.189873417721518,17.35006880760193,17.3662109375,16.0,18.99,18.873342452597864,17.59388837384743,17.59323329760629
18.0,22.29474690755208,19.995550351288056,20.23474955558777,20.28424072265625,26.0,20.03,19.6724884961166,19.784104264785235,21.93682913223861
